BRITE_id,level_1,level_2
ko03029,Genetic Information Processing,Translation
ko00199,Metabolism,Enzyme families
ko04050,Environmental Information Processing,Signaling molecules and interaction
ko00194,Metabolism,Energy metabolism
ko04121,Genetic Information Processing,"Folding, sorting and degradation"
ko04040,Environmental Information Processing,Signaling molecules and interaction
ko02000,Environmental Information Processing,Membrane transport
ko04147,Cellular Processes,Transport and catabolism
ko02022,Environmental Information Processing,Signal transduction
ko03009,Genetic Information Processing,Translation
ko03041,Genetic Information Processing,Transcription
ko02048,Cellular Processes,Transport and catabolism
ko03000,Genetic Information Processing,Transcription
ko02044,Environmental Information Processing,Membrane transport
ko02042,Environmental Information Processing,Signaling molecules and interaction
ko00535,Metabolism,Glycan biosynthesis and metabolism
ko00536,Metabolism,Glycan biosynthesis and metabolism
ko04812,Cellular Processes,Cell motility
ko01002,Metabolism,Enzyme families
ko01003,Metabolism,Glycan biosynthesis and metabolism
ko01000,Metabolism,Enzyme families
ko03021,Genetic Information Processing,Transcription
ko01007,Metabolism,Amino acid metabolism
ko01004,Metabolism,Lipid metabolism
ko01005,Metabolism,Glycan biosynthesis and metabolism
ko04052,Environmental Information Processing,Signaling molecules and interaction
ko01008,Metabolism,Metabolism of terpenoids and polyketides
ko01009,Metabolism,Enzyme families
ko04131,Genetic Information Processing,"Folding, sorting and degradation"
ko03036,Genetic Information Processing,Replication and repair
ko03032,Genetic Information Processing,Replication and repair
ko04030,Environmental Information Processing,Signaling molecules and interaction
ko04031,Environmental Information Processing,Signaling molecules and interaction
ko02035,Cellular Processes,Cell motility
ko04516,Environmental Information Processing,Signaling molecules and interaction
ko03019,Genetic Information Processing,Translation
ko01001,Metabolism,Enzyme families
ko04090,Environmental Information Processing,Signaling molecules and interaction
ko03051,Genetic Information Processing,"Folding, sorting and degradation"
ko03012,Genetic Information Processing,Translation
ko03400,Genetic Information Processing,Replication and repair
ko03016,Genetic Information Processing,Translation
ko03110,Genetic Information Processing,"Folding, sorting and degradation"
ko04091,Environmental Information Processing,Signaling molecules and interaction
